candidate_oracle_evidence_id,candidate_oracle_label,candidate_oracle_score,extraction_oracle_evidence_id,extraction_oracle_label,extraction_oracle_score,fact_id,loss_stage,mode,source_doc_id,source_oracle_evidence_id,source_oracle_label,source_oracle_score,top10_label,top1_label,top3_label,top5_label
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,PARTIALLY_SUPPORTED,0.6,Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,PARTIALLY_SUPPORTED,0.6,DOC01-FACT-011,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.8,PARTIALLY_SUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.75,Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.75,DOC01-FACT-012,ranking_degradation,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|Nafion 212|carbon felt electrodes SGL GFD 4.6 EA|electrolyte|vanadium redox flow battery,UNSUPPORTED,0.25,Nafion 117|vanadium redox flow battery,UNSUPPORTED,0.25,DOC01-FACT-013,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,UNSUPPORTED,0.4444,Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,UNSUPPORTED,0.4444,DOC01-FACT-014,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.5556,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,PARTIALLY_SUPPORTED,0.5,CE of Nafion 117 at 100 mA/cm2 and 25 C|CE of Nafion 212 at 100 mA/cm2 and 25 C|EE of Nafion 117 at 100 mA/cm2 and 25 C|EE of Nafion 212 at 100 mA/cm2 and 25 C|Nafion 117|Nafion 212|VE of Nafion 117 at 100 mA/cm2 and 25 C|VE of Nafion 212 at 100 mA/cm2 and 25 C|current density of 100 mA/cm2|temperature 25 C,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-015,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6667,PARTIALLY_SUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.3333,Nafion 117|Nafion 212,UNSUPPORTED,0.3333,DOC01-FACT-016,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.6667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.75,Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.75,DOC01-FACT-017,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.75,Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,PARTIALLY_SUPPORTED,0.75,DOC01-FACT-018,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|thickness of Nafion 117,UNSUPPORTED,0.2,Nafion 117|Nafion 212,UNSUPPORTED,0.2,DOC01-FACT-019,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 212|thickness of Nafion 212,UNSUPPORTED,0.2,Nafion 117|Nafion 212,UNSUPPORTED,0.2,DOC01-FACT-020,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.4,area resistance of Nafion 117 at 40 C|temperature 40 C,UNSUPPORTED,0.4,DOC01-FACT-021,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.4,area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.4,DOC01-FACT-022,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|carbon felt electrodes SGL GFD 4.6 EA|electrolyte|vanadium redox flow battery,PARTIALLY_SUPPORTED,0.5,Nafion 117|Nafion 212,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-023,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,UNSUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,PARTIALLY_SUPPORTED,0.5,Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,PARTIALLY_SUPPORTED,0.5,DOC01-FACT-024,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,PARTIALLY_SUPPORTED,0.5,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
Nafion 117|Nafion 212|area resistance of Nafion 117 at 25 C|area resistance of Nafion 117 at 40 C|area resistance of Nafion 212 at 25 C|area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.4,area resistance of Nafion 212 at 40 C|temperature 40 C,UNSUPPORTED,0.4,DOC01-FACT-025,retrieved,hyper_base,DOC01,chunk-hyperrag-DOC01,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|PBI IEC|PBI acid doping level|PBI area-specific resistance|PBI coulombic efficiency at 100 mA/cm2|PBI energy efficiency at 100 mA/cm2|PBI vanadium permeability|PBI voltage efficiency at 100 mA/cm2|PBI water uptake,UNSUPPORTED,0.0,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-001,benchmark_or_judge,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|PBI IEC|PBI acid doping level|PBI area-specific resistance|PBI coulombic efficiency at 100 mA/cm2|PBI energy efficiency at 100 mA/cm2|PBI vanadium permeability|PBI voltage efficiency at 100 mA/cm2|PBI water uptake,UNSUPPORTED,0.0,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-002,benchmark_or_judge,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|PBI IEC|PBI acid doping level|PBI area-specific resistance|PBI coulombic efficiency at 100 mA/cm2|PBI energy efficiency at 100 mA/cm2|PBI vanadium permeability|PBI voltage efficiency at 100 mA/cm2|PBI water uptake,UNSUPPORTED,0.25,PBI|SNPBI-1.42,UNSUPPORTED,0.25,DOC02-FACT-003,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.25,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|PBI IEC|PBI acid doping level|PBI area-specific resistance|PBI coulombic efficiency at 100 mA/cm2|PBI energy efficiency at 100 mA/cm2|PBI vanadium permeability|PBI voltage efficiency at 100 mA/cm2|PBI water uptake,UNSUPPORTED,0.0,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-004,benchmark_or_judge,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
current density from 40 to 200 mA/cm2|vanadium redox flow battery,UNSUPPORTED,0.125,PBI|SPTPC-2.59,UNSUPPORTED,0.125,DOC02-FACT-005,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.125,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
current density from 40 to 200 mA/cm2|vanadium redox flow battery,UNSUPPORTED,0.1429,PBI|SPTPC-2.59,UNSUPPORTED,0.1429,DOC02-FACT-006,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SNPBI-1.42|SPEEK/APK|SPTPC-2.59,UNSUPPORTED,0.1667,PBI|SPTPC-2.59,UNSUPPORTED,0.1667,DOC02-FACT-007,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SNPBI-1.42|SPEEK/APK|SPTPC-2.59,UNSUPPORTED,0.1667,PBI|SPTPC-2.59,UNSUPPORTED,0.1667,DOC02-FACT-008,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Ion exchange capacity (IEC)|Percolation threshold,UNSUPPORTED,0.2,PBI|Phosphoric acid,UNSUPPORTED,0.2,DOC02-FACT-009,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
All-Vanadium Redox Flow Battery (VRFB)|thermal treatment of carbon felt at 400-500 C,UNSUPPORTED,0.3333,PBI|SPTPC-2.59,UNSUPPORTED,0.3333,DOC02-FACT-010,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,1.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SNPBI-1.42,UNSUPPORTED,0.0,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-011,benchmark_or_judge,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.0,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Ion exchange capacity (IEC)|Vanadium permeability,UNSUPPORTED,0.0,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-012,extraction_or_representation,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SPTPC-2.59,UNSUPPORTED,0.3333,PBI|SPTPC-2.59,UNSUPPORTED,0.3333,DOC02-FACT-013,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|vanadium redox flow battery,UNSUPPORTED,0.3333,PBI|SPTPC-2.59,UNSUPPORTED,0.3333,DOC02-FACT-014,rerank_or_topk,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.6667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SNPBI-1.42|SPEEK/APK|SPTPC-2.59,UNSUPPORTED,0.0,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-015,extraction_or_representation,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,UNSUPPORTED,0.2,PBI|SNPBI-1.42,UNSUPPORTED,0.0,DOC02-FACT-016,extraction_or_representation,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SNPBI-1.42|SPEEK/APK|SPTPC-2.59,PARTIALLY_SUPPORTED,0.5,PBI|SPTPC-2.59,PARTIALLY_SUPPORTED,0.5,DOC02-FACT-017,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.5,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
PBI|Phosphoric acid,PARTIALLY_SUPPORTED,0.5,PBI|SNPBI-1.42,PARTIALLY_SUPPORTED,0.5,DOC02-FACT-018,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
PBI|SNPBI-1.42|SPEEK/APK|SPTPC-2.59,UNSUPPORTED,0.2,PBI|SPTPC-2.59,UNSUPPORTED,0.2,DOC02-FACT-019,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
current density from 40 to 200 mA/cm2|vanadium redox flow battery,UNSUPPORTED,0.1429,PBI|SPTPC-2.59,UNSUPPORTED,0.1429,DOC02-FACT-020,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
current density from 40 to 200 mA/cm2|vanadium redox flow battery,UNSUPPORTED,0.125,PBI|SPTPC-2.59,UNSUPPORTED,0.125,DOC02-FACT-021,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.125,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
Nafion 117|Nafion 212|capacity fade rate of Nafion 117 at 100 mA/cm2 and 25 C|capacity fade rate of Nafion 212 at 100 mA/cm2 and 25 C|vanadium crossover,UNSUPPORTED,0.25,PBI|Phosphoric acid,UNSUPPORTED,0.25,DOC02-FACT-022,rerank_or_topk,hyper_base,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
All-Vanadium Redox Flow Battery (VRFB)|energy efficiency (EE),UNSUPPORTED,0.1667,PBI|SPTPC-2.59,UNSUPPORTED,0.1667,DOC02-FACT-023,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.1667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SNPBI-1.42|SPEEK/APK|SPTPC-2.59,UNSUPPORTED,0.1111,PBI|SNPBI-1.42,UNSUPPORTED,0.1111,DOC02-FACT-024,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2222,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
PBI|SPTPC-2.59,UNSUPPORTED,0.2,PBI|SNPBI-1.42,UNSUPPORTED,0.2,DOC02-FACT-025,retrieved,hyper_base,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
BMC-C electrode|C-C electrode|MC-C electrode|contact angle of 102 deg|contact angle of 130.4 deg|contact angle of 92.8 deg,UNSUPPORTED,0.1111,Nafion 117 membrane|Vanadium redox flow batteries (VRFBs),UNSUPPORTED,0.1111,DOC03-FACT-001,rerank_or_topk,hyper_base,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.4444,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
All-Vanadium Redox Flow Battery (VRFB)|energy efficiency (EE),UNSUPPORTED,0.125,Nafion 117 membrane|Vanadium redox flow batteries (VRFBs),UNSUPPORTED,0.125,DOC03-FACT-002,rerank_or_topk,hyper_base,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.25,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
BMC-C electrode|C-C electrode|MC-C electrode|contact angle of 102 deg|contact angle of 130.4 deg|contact angle of 92.8 deg,UNSUPPORTED,0.125,0.3 mol/L boric acid solution|BMC-C electrode,UNSUPPORTED,0.125,DOC03-FACT-003,retrieved,hyper_base,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.375,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
BMC-C electrode|C-C electrode|MC-C electrode|contact angle of 102 deg|contact angle of 130.4 deg|contact angle of 92.8 deg,UNSUPPORTED,0.125,0.3 mol/L boric acid solution|BMC-C electrode,UNSUPPORTED,0.125,DOC03-FACT-004,retrieved,hyper_base,DOC03,chunk-hyperrag-DOC03,UNSUPPORTED,0.375,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
BMC-C electrode|C-C electrode|MC-C electrode|contact angle of 102 deg|contact angle of 130.4 deg|contact angle of 92.8 deg,UNSUPPORTED,0.1667,Nafion 117 membrane|Vanadium redox flow batteries (VRFBs),UNSUPPORTED,0.1667,DOC03-FACT-005,retrieved,hyper_base,DOC03,chunk-hyperrag-DOC03,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
